document_id,path,title,metadata_type,created,updated
4221,0023/lewis_e_018,Liber de vinis,TEI,2017-05-10T14:27:01+00:00,2018-08-17T19:07:56+00:00
4222,0023/lewis_e_057,Carmen in honorem Beatae Mariae Virginis,TEI,2017-05-10T18:22:19+00:00,2018-08-17T19:15:35+00:00
4223,0023/lewis_e_083,Historia belli civilis inter Caesarem et Pompeium,TEI,2017-05-10T18:52:40+00:00,2018-08-17T19:18:33+00:00
4225,0023/lewis_e_009,Processional; Astronomical Text binding fragment,TEI,2017-05-10T19:10:48+00:00,2018-08-17T19:07:03+00:00
4226,0023/lewis_e_003,Canon super almanach; De 12 signis et eorum naturis in generali,TEI,2017-05-10T19:24:04+00:00,2018-08-17T19:05:44+00:00
4229,0023/lewis_e_005,De casu diaboli (On the Fall of the Devil),TEI,2017-05-11T18:45:21+00:00,2018-08-17T19:06:10+00:00
4235,0023/lewis_e_125,"Book of Hours, Use of Rouen",TEI,2017-05-11T18:59:42+00:00,2018-09-06T15:51:24+00:00
4236,0023/lewis_e_049,Breviary,TEI,2017-05-11T19:07:28+00:00,2018-08-17T19:14:19+00:00
4237,0023/lewis_e_126,"Book of Hours, Use of Rouen",TEI,2017-05-11T19:38:40+00:00,2018-09-06T15:56:13+00:00
4238,0023/lewis_e_154,Tobias (History of Tobias),TEI,2017-05-11T20:10:41+00:00,2018-08-17T19:35:00+00:00
4288,0023/lewis_e_087,"Book of Hours, Use of Bourges",TEI,2017-06-08T16:21:59+00:00,2018-09-06T15:47:06+00:00
4289,0023/lewis_e_184,Psalter,TEI,2017-06-08T18:30:17+00:00,2018-08-17T19:42:28+00:00
4290,0023/lewis_e_195,"Vitae XII caesarium (Lives of the twelve caesars), fragment and Book of Hours leaf",TEI,2017-06-08T19:58:54+00:00,2018-08-17T19:45:07+00:00
4291,0023/lewis_e_199,Legenda aurea (Golden Legend),TEI,2017-06-08T20:19:39+00:00,2018-08-17T19:46:09+00:00
4311,0023/lewis_e_008,Fragments from a Gradual,TEI,2017-06-29T14:51:33+00:00,2018-09-19T14:29:21+00:00
4312,0023/lewis_e_014,De censuris ecclesiasticis; Three papal bulls,TEI,2017-06-29T16:24:51+00:00,2018-08-17T19:07:24+00:00
4317,0023/lewis_e_017,Armorial,TEI,2017-06-30T15:43:13+00:00,2018-08-17T19:07:44+00:00
4318,0023/lewis_e_033,Bible,TEI,2017-06-30T15:45:26+00:00,2018-10-15T14:10:58+00:00
4321,0023/lewis_e_040,Bible,TEI,2017-07-05T19:24:02+00:00,2018-08-17T19:12:36+00:00
4322,0023/lewis_e_039,Bible,TEI,2017-07-05T19:44:45+00:00,2018-08-17T19:12:26+00:00
4323,0023/lewis_e_002,De consolatione philosophiae; De mirabilis mundi; Grammatical treatise ?; Unidentified theological treatise; Miscellany,TEI,2017-07-07T16:26:21+00:00,2018-08-17T19:05:31+00:00
4324,0023/lewis_e_030,Bible,TEI,2017-07-07T16:36:20+00:00,2018-08-17T19:10:28+00:00
