document_id,path,title,metadata_type,created,updated
6673,0031/1945_65_7,Gradual (Choir book),TEI,2018-08-08T14:58:07+00:00,2018-08-17T18:56:33+00:00
6674,0031/1945_65_9,"Book of Hours, Use of Paris (The Susanna Hours)",TEI,2018-08-08T18:04:38+00:00,2018-08-17T18:56:46+00:00
6675,0031/1945_65_15,"Book of Hours, Use of Rome (Victorines-d'Auxy Hours)",TEI,2018-08-13T13:53:00+00:00,2018-08-17T18:56:15+00:00
6676,0031/1945_65_16,Book of Hours for Rome Use,TEI,2018-08-13T15:50:10+00:00,2018-08-17T18:56:23+00:00
6677,0031/1949_83_1,"Book of Hours, Use of Chartres",TEI,2018-08-13T16:45:17+00:00,2018-08-17T18:56:56+00:00
6678,0031/1967_30_122,"Book of Hours, Use of Paris (Horae Baetae Virginis cum calendario)",TEI,2018-08-13T17:53:01+00:00,2018-08-17T18:57:05+00:00
6679,0031/1882_983,Prayer book,TEI,2018-08-13T18:25:10+00:00,2018-08-17T18:55:56+00:00
6680,0031/1933_36_1,Antiphonarium,TEI,2018-08-13T20:24:08+00:00,2018-08-17T18:56:06+00:00
6681,0031/1945_65_19,Ordre du saint espirit,TEI,2018-08-16T13:45:36+00:00,2018-08-16T23:17:56+00:00
6682,0031/1945_65_6,Book of Hours for Sarum Use (Mostyn Hours),TEI,2018-08-16T13:57:57+00:00,2018-08-16T23:17:56+00:00
6683,0031/1967_30_121,"Book of Hours, Use of Paris",TEI,2018-08-16T15:00:50+00:00,2018-08-16T23:17:56+00:00
6684,0031/1924_19_1,"Book of Hours, Use of Paris",TEI,2018-08-16T17:29:38+00:00,2018-08-16T23:17:56+00:00
6702,0031/1945_65_8,Book of Hours for Rome Use,TEI,2018-08-29T14:17:02+00:00,2018-08-29T23:43:33+00:00
6703,0031/1945_65_12,Book of Hours for Paris Use,TEI,2018-08-29T14:17:44+00:00,2018-08-29T23:43:44+00:00
6704,0031/1945_65_10,"Book of Hours, Use of Chartres",TEI,2018-08-29T18:34:46+00:00,2018-08-29T23:43:44+00:00
6812,0031/1953_128_7,Liturgical psalter,TEI,2018-11-05T19:11:41+00:00,2018-11-06T00:59:24+00:00
6815,0031/1945_65_4,"Book of Hours, Use of Rome (Collins Hours)",TEI,2018-11-08T18:11:29+00:00,2018-11-08T23:35:10+00:00
6825,0031/1923_17_1,Sentencias y carta executoria de hidalguia a pedimiento de Alonso Ximenez de Canizares vezino de la ciudad de Guadalajara,TEI,2018-11-19T14:46:07+00:00,2018-11-20T00:23:04+00:00
6826,0031/1945_65_20,Liturgical psalter and perpetual calendar,TEI,2018-11-19T14:46:37+00:00,2018-11-20T00:23:04+00:00
6969,0031/2017_232_1,al-Qur'an. / lqran,TEI,2019-02-21T19:14:53+00:00,2020-04-08T13:09:14+00:00
7006,0031/1945_65_13,"Book of Hours, Use of Rome",TEI,2019-03-11T15:55:36+00:00,2019-03-11T23:08:53+00:00
9120,0031/1945_65_5,"Book of Hours, Use of Paris",TEI,2019-05-01T16:07:13+00:00,2019-05-01T22:37:33+00:00
9121,0031/1945_65_3,Roman de la Rose,TEI,2019-05-02T14:30:13+00:00,2019-05-02T23:51:13+00:00
9122,0031/1883_53,Illuminated Choral Manuscript,TEI,2019-05-02T15:27:04+00:00,2019-05-02T23:51:13+00:00
9138,0031/1945_65_14,"Book of Hours, Use of Rome (Hours of Etienne Thirion; formerly the Champion-Minard Hours)",TEI,2019-05-22T14:06:36+00:00,2019-05-22T22:37:13+00:00
9139,0031/1945_65_11,"Book of Hours, Use of Rome",TEI,2019-05-22T18:54:54+00:00,2019-05-22T22:37:13+00:00
9140,0031/1945_65_1,La cite de dieu (The City of God),TEI,2019-05-30T15:04:48+00:00,2019-05-30T23:38:36+00:00
9149,0031/1945_65_2,Book of Hours for Sarum Use and Gallican Psalter with Canticles (Pembroke Hours),TEI,2019-06-12T17:06:15+00:00,2019-06-12T23:04:37+00:00
9155,0031/1967_30_120,"Hours of the Virgin, Use of Rome",TEI,2019-06-19T13:23:51+00:00,2019-06-19T23:43:06+00:00
9174,0031/1945_65_17,"Book of Hours, Use of Rome (The Atalaya Hours)",TEI,2019-07-01T16:10:07+00:00,2019-07-01T23:08:53+00:00
