document_id,path,title,metadata_type,created,updated
1,0001/ljs103,Reproduction of Sienese book covers.,TEI,2014-11-03T23:13:18+00:00,2015-04-22T15:17:04+00:00
2,0001/ljs201,Evangelista Torricelli letter to Marin Marsenne,TEI,2014-11-03T23:38:42+00:00,2015-04-22T15:17:05+00:00
3,0001/ljs255,Manuscript leaf from De casibus virorum illustrium,TEI,2014-11-03T23:39:46+00:00,2019-10-15T18:09:21+00:00
4,0001/ljs489,Nawaz letter with seal,TEI,2014-11-03T23:40:23+00:00,2015-04-22T15:17:07+00:00
5,0001/ljsmisc1,Sluby family indenture :,TEI,2014-11-03T23:41:42+00:00,2015-04-22T15:17:07+00:00
6,0001/ljsmisc2,Timothy Stedham indenture :,TEI,2014-11-03T23:42:45+00:00,2015-04-22T15:17:07+00:00
7,0001/ljsmisc3,John and Mary Hoffman indenture :,TEI,2014-11-03T23:43:16+00:00,2015-04-22T15:17:07+00:00
8,0001/ljsmisc4,Jacob Richman survey :,TEI,2014-11-03T23:43:47+00:00,2015-04-22T15:17:07+00:00
9,0001/ljsmisc5,Subscription for cutting a channel from Salem Creek :,TEI,2014-11-03T23:43:59+00:00,2015-04-22T15:17:07+00:00
10,0001/ljsmisc6,John Hunt indenture :,TEI,2014-11-03T23:44:21+00:00,2015-04-22T15:17:07+00:00
13,0001/ljs266,La generacion de Adam,TEI,2014-11-04T18:58:40+00:00,2019-10-15T19:35:30+00:00
15,0001/ljs204,Shesh kenafayim,TEI,2014-11-04T20:52:22+00:00,2019-10-15T18:28:33+00:00
16,0001/ljs491,Perush sefer ha-yesodot shel Uklids,TEI,2014-11-04T21:03:50+00:00,2015-04-22T15:17:07+00:00
17,0001/ljs217,Rapport sur les poids et mesures,TEI,2014-11-04T21:18:26+00:00,2015-04-22T15:17:06+00:00
18,0001/ljs454,Seiyo senpaku zukai,TEI,2014-11-04T21:20:21+00:00,2015-04-22T15:17:07+00:00
19,0001/ljs488,Cose di geometria,TEI,2014-11-04T21:32:36+00:00,2022-02-22T21:12:32+00:00
20,0001/ljs496,Treatise on practical mathematical calculation,TEI,2014-11-04T21:35:40+00:00,2019-10-15T18:01:40+00:00
21,0001/ljs209,In libros magnorum moralium questiones selecte,TEI,2014-11-04T21:42:35+00:00,2015-04-22T15:17:05+00:00
22,0001/ljs294,Kitab al-Adwar fi al-musiqa.,TEI,2014-11-04T21:48:19+00:00,2020-02-24T14:44:22+00:00
25,0001/ljs465,Didactic poem on surveying and measurement of areas (taksir).,TEI,2014-11-04T21:59:22+00:00,2020-01-27T21:11:28+00:00
26,0001/ljs462,Algorismus ... etc.,TEI,2014-11-04T22:00:47+00:00,2019-10-15T17:29:56+00:00
27,0001/ljs501,Bifolium from Liber completus in iudiciis stellarum.,TEI,2014-11-04T22:05:00+00:00,2019-10-15T17:18:25+00:00
29,0001/ljs198,De simplicibus,TEI,2014-11-04T22:10:32+00:00,2019-10-15T19:47:12+00:00
30,0001/ljs208,Opusculum mathematicum,TEI,2014-11-04T22:13:23+00:00,2015-04-22T15:17:05+00:00
31,0001/ljs359,Liber canonis,TEI,2014-11-04T22:20:56+00:00,2019-10-15T19:30:51+00:00
32,0001/ljs181,Mathematical notes,TEI,2014-11-04T22:27:10+00:00,2015-04-22T15:17:05+00:00
33,0001/ljs361,Astronomical and astrological tables.,TEI,2014-11-04T22:29:37+00:00,2022-12-07T21:15:35+00:00
34,0001/ljs494,Mar'eh ha-ofanim ... etc.,TEI,2014-11-04T22:34:58+00:00,2019-10-15T19:03:48+00:00
35,0001/ljs175,"Figure de sistemi del mondo d'Aristotile, Copernico, e Ticone",TEI,2014-11-04T22:38:42+00:00,2015-04-22T15:17:05+00:00
36,0001/ljs487,Treatises on astronomical instruments,TEI,2014-11-04T22:45:10+00:00,2019-10-15T18:54:17+00:00
37,0001/ljs182,Les observations de l'equinoxe du printems de cette annee 1703,TEI,2014-11-04T22:47:52+00:00,2015-04-22T15:17:05+00:00
38,0001/ljs185,Psalter leaves and Matthew leaf,TEI,2014-11-04T22:49:11+00:00,2015-04-22T15:17:05+00:00
40,0001/ljs499,Igeret orhot `olam ... etc.,TEI,2014-11-04T22:54:30+00:00,2022-02-22T21:21:44+00:00
41,0001/ljs56,Logica parva,TEI,2014-11-28T03:08:25+00:00,2019-10-15T19:04:01+00:00
42,0001/ljs430,De urinarum judiciis,TEI,2014-11-28T15:56:47+00:00,2019-10-15T18:26:29+00:00
43,0001/ljs236,Thesaurus pauperum ... etc.,TEI,2014-11-28T16:05:30+00:00,2019-10-15T18:33:20+00:00
44,0001/ljs22,"Trattato di varie cose attenenti a guerra, molini, aque, pesi, mechaniche fortezze, et altro",TEI,2014-11-28T16:43:48+00:00,2015-04-22T15:17:06+00:00
45,0001/ljs402,"Die eroffnete konigliche ober hungarische Kuppfer-Handlung Schmolnitz, so wohl nach ihren inner-als ausserlichen harmoniren den wesentlichen Theilen und Stucken ... etc.",TEI,2014-11-28T17:23:03+00:00,2015-04-22T15:17:07+00:00
46,0001/ljs163,Allgemeine Maschinenlehre nach den Vorfragen des Herrn Professor Dr. Ruhlmann,TEI,2014-11-28T18:58:26+00:00,2015-04-22T15:17:04+00:00
