document_id,path,title,metadata_type,created,updated
7041,0035/EpiscopalDiocese.StPaulMarriageRegister1760-1802,"Marriages, alphabetical index, 1759-1803",TEI,2019-03-20T14:04:10+00:00,2023-02-10T20:58:54+00:00
9232,0035/EpiscopalDiocese.StPaulIntermentRecord1811-1852,"Burials, 1811-1852 and undated",TEI,2019-08-07T17:14:05+00:00,2023-02-07T16:51:38+00:00
9233,0035/EpiscopalDiocese.StPaulLotteryAccountBook1773,"Lottery account book, 1773 and charity collections, 1802-1812",TEI,2019-08-07T18:01:23+00:00,2023-02-10T20:52:16+00:00
9234,0035/EpiscopalDiocese.StPaulLotteryRecordBookc1774,"Lottery account book, 1774",TEI,2019-08-07T18:11:45+00:00,2023-02-10T20:54:39+00:00
9243,0035/EpiscopalDiocese.StPaulMarriageRecord1759-1824,"Marriages, 1759-1824",TEI,2019-08-08T16:01:32+00:00,2023-02-10T20:56:51+00:00
9244,0035/EpiscopalDiocese.StPaulParishRegister1821-1829,"Parish register, 1821-1829",TEI,2019-08-08T17:12:09+00:00,2023-02-10T21:01:12+00:00
9245,0035/EpiscopalDiocese.StPaulParishRegister1829-1865,"Parish register, 1829-1865",TEI,2019-08-08T17:52:44+00:00,2023-02-10T21:02:54+00:00
9246,0035/EpiscopalDiocese.StPaulParishRegister1866-1888,"Parish register, 1866-1888",TEI,2019-08-08T19:19:13+00:00,2023-02-10T21:04:38+00:00
9247,0035/EpiscopalDiocese.StPaulReceiptBook1794-1809,"Receipt book, 1794-1809",TEI,2019-08-08T20:20:09+00:00,2023-02-10T21:06:51+00:00
9250,0035/EpiscopalDiocese.StPaulRegisterofBurials1856-1869,"Burials, 1852-1869",TEI,2019-08-09T19:47:28+00:00,2023-02-10T21:08:46+00:00
9253,0035/EpiscopalDiocese.WilliamWhiteJournal,"Journal of the meetings that led to the formation of the diocese, 1784-1790",TEI,2019-08-09T20:46:24+00:00,2023-02-10T21:14:51+00:00
9276,0035/EpiscopalDiocese.StPaulRegisterofMarriages1786-1813,"Marriage register of Rev. Joseph Pilmore, 1786-1813",TEI,2019-08-13T14:38:28+00:00,2023-02-10T21:11:21+00:00
9438,0035/EpiscopalDiocese.StPaulVestryMinutes1792-1797,"Vestry minutes, 1792-1797",TEI,2019-10-02T14:28:08+00:00,2023-02-10T21:13:08+00:00
12166,0035/EpiscopalDiocese.JohnWoodAccountJournal1788-1789,"John Wood accounting journal, 1788-1791",TEI,2022-08-24T16:14:40+00:00,2022-09-27T18:05:56+00:00
12167,0035/EpiscopalDiocese.StPaulLedger1806-1852,"Ledger, 1806-1852",TEI,2022-08-24T17:02:53+00:00,2022-09-27T18:06:46+00:00
12168,0035/EpiscopalDiocese.StPaulPewRent1769-1770GenAcct1799-1813,"Pew rents, 1769-1770, and general accounts, 1799-1813",TEI,2022-08-24T18:17:53+00:00,2022-09-27T18:07:32+00:00
12169,0035/EpiscopalDiocese.StPaulVestryMinutes1762-1774,"Vestry minutes, 1762-1774",TEI,2022-08-24T19:11:34+00:00,2022-09-27T18:24:21+00:00
12170,0035/EpiscopalDiocese.StPaulVestryMinutes1797-1810,"Vestry minutes, 1797-1810",TEI,2022-08-24T19:59:35+00:00,2022-09-27T18:25:41+00:00
12171,0035/EpiscopalDiocese.StPaulVestryMinutes1810-1829,"Vestry minutes, 1810-1829",TEI,2022-08-26T12:50:27+00:00,2022-09-27T18:26:47+00:00
13425,0035/EpiscopalDiocese.StPaulVestryMinutes1760-1764,"Parish register, including early trustee minutes, 1759-1835",TEI,2023-02-03T17:35:57+00:00,2023-02-03T23:37:20+00:00
