postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/9693_0000.tif,web/9693_0000_web.jpg,thumb/9693_0000_thumb.jpg
2,Inside front cover,master/9693_0001.tif,web/9693_0001_web.jpg,thumb/9693_0001_thumb.jpg
3,p. 3,master/9693_0002.tif,web/9693_0002_web.jpg,thumb/9693_0002_thumb.jpg
4,p. 4,master/9693_0003.tif,web/9693_0003_web.jpg,thumb/9693_0003_thumb.jpg
5,p. 5,master/9693_0004.tif,web/9693_0004_web.jpg,thumb/9693_0004_thumb.jpg
6,p. 6,master/9693_0005.tif,web/9693_0005_web.jpg,thumb/9693_0005_thumb.jpg
7,p. 7,master/9693_0006.tif,web/9693_0006_web.jpg,thumb/9693_0006_thumb.jpg
8,p. 8,master/9693_0007.tif,web/9693_0007_web.jpg,thumb/9693_0007_thumb.jpg
9,p. 9,master/9693_0008.tif,web/9693_0008_web.jpg,thumb/9693_0008_thumb.jpg
10,p. 10,master/9693_0009.tif,web/9693_0009_web.jpg,thumb/9693_0009_thumb.jpg
11,p. 11,master/9693_0010.tif,web/9693_0010_web.jpg,thumb/9693_0010_thumb.jpg
12,p. 12,master/9693_0011.tif,web/9693_0011_web.jpg,thumb/9693_0011_thumb.jpg
13,p. 13,master/9693_0012.tif,web/9693_0012_web.jpg,thumb/9693_0012_thumb.jpg
14,p. 14,master/9693_0013.tif,web/9693_0013_web.jpg,thumb/9693_0013_thumb.jpg
15,p. 15,master/9693_0014.tif,web/9693_0014_web.jpg,thumb/9693_0014_thumb.jpg
16,p. 16,master/9693_0015.tif,web/9693_0015_web.jpg,thumb/9693_0015_thumb.jpg
17,p. 17,master/9693_0016.tif,web/9693_0016_web.jpg,thumb/9693_0016_thumb.jpg
18,p. 18,master/9693_0017.tif,web/9693_0017_web.jpg,thumb/9693_0017_thumb.jpg
19,p. 19,master/9693_0018.tif,web/9693_0018_web.jpg,thumb/9693_0018_thumb.jpg
20,p. 20,master/9693_0019.tif,web/9693_0019_web.jpg,thumb/9693_0019_thumb.jpg
21,p. 21,master/9693_0020.tif,web/9693_0020_web.jpg,thumb/9693_0020_thumb.jpg
22,p. 22,master/9693_0021.tif,web/9693_0021_web.jpg,thumb/9693_0021_thumb.jpg
23,p. 23,master/9693_0022.tif,web/9693_0022_web.jpg,thumb/9693_0022_thumb.jpg
24,p. 24,master/9693_0023.tif,web/9693_0023_web.jpg,thumb/9693_0023_thumb.jpg
25,p. 25,master/9693_0024.tif,web/9693_0024_web.jpg,thumb/9693_0024_thumb.jpg
26,p. 26,master/9693_0025.tif,web/9693_0025_web.jpg,thumb/9693_0025_thumb.jpg
27,p. 27,master/9693_0026.tif,web/9693_0026_web.jpg,thumb/9693_0026_thumb.jpg
28,p. 28,master/9693_0027.tif,web/9693_0027_web.jpg,thumb/9693_0027_thumb.jpg
29,p. 29,master/9693_0028.tif,web/9693_0028_web.jpg,thumb/9693_0028_thumb.jpg
30,p. 30,master/9693_0029.tif,web/9693_0029_web.jpg,thumb/9693_0029_thumb.jpg
31,p. 31,master/9693_0030.tif,web/9693_0030_web.jpg,thumb/9693_0030_thumb.jpg
32,p. 32,master/9693_0031.tif,web/9693_0031_web.jpg,thumb/9693_0031_thumb.jpg
33,p. 33,master/9693_0032.tif,web/9693_0032_web.jpg,thumb/9693_0032_thumb.jpg
34,p. 34,master/9693_0033.tif,web/9693_0033_web.jpg,thumb/9693_0033_thumb.jpg
35,p. 35,master/9693_0034.tif,web/9693_0034_web.jpg,thumb/9693_0034_thumb.jpg
36,p. 36,master/9693_0035.tif,web/9693_0035_web.jpg,thumb/9693_0035_thumb.jpg
37,p. 37,master/9693_0036.tif,web/9693_0036_web.jpg,thumb/9693_0036_thumb.jpg
38,p. 38,master/9693_0037.tif,web/9693_0037_web.jpg,thumb/9693_0037_thumb.jpg
39,p. 39,master/9693_0038.tif,web/9693_0038_web.jpg,thumb/9693_0038_thumb.jpg
40,p. 40,master/9693_0039.tif,web/9693_0039_web.jpg,thumb/9693_0039_thumb.jpg
41,p. 41,master/9693_0040.tif,web/9693_0040_web.jpg,thumb/9693_0040_thumb.jpg
42,p. 42,master/9693_0041.tif,web/9693_0041_web.jpg,thumb/9693_0041_thumb.jpg
43,p. 43,master/9693_0042.tif,web/9693_0042_web.jpg,thumb/9693_0042_thumb.jpg
44,p. 44,master/9693_0043.tif,web/9693_0043_web.jpg,thumb/9693_0043_thumb.jpg
45,p. 45,master/9693_0044.tif,web/9693_0044_web.jpg,thumb/9693_0044_thumb.jpg
46,p. 46,master/9693_0045.tif,web/9693_0045_web.jpg,thumb/9693_0045_thumb.jpg
47,p. 47,master/9693_0046.tif,web/9693_0046_web.jpg,thumb/9693_0046_thumb.jpg
48,p. 48,master/9693_0047.tif,web/9693_0047_web.jpg,thumb/9693_0047_thumb.jpg
49,p. 49,master/9693_0048.tif,web/9693_0048_web.jpg,thumb/9693_0048_thumb.jpg
50,p. 50,master/9693_0049.tif,web/9693_0049_web.jpg,thumb/9693_0049_thumb.jpg
51,p. 51,master/9693_0050.tif,web/9693_0050_web.jpg,thumb/9693_0050_thumb.jpg
52,p. 52,master/9693_0051.tif,web/9693_0051_web.jpg,thumb/9693_0051_thumb.jpg
53,p. 53,master/9693_0052.tif,web/9693_0052_web.jpg,thumb/9693_0052_thumb.jpg
54,p. 54,master/9693_0053.tif,web/9693_0053_web.jpg,thumb/9693_0053_thumb.jpg
55,p. 55,master/9693_0054.tif,web/9693_0054_web.jpg,thumb/9693_0054_thumb.jpg
56,p. 56,master/9693_0055.tif,web/9693_0055_web.jpg,thumb/9693_0055_thumb.jpg
57,p. 57,master/9693_0056.tif,web/9693_0056_web.jpg,thumb/9693_0056_thumb.jpg
58,p. 58,master/9693_0057.tif,web/9693_0057_web.jpg,thumb/9693_0057_thumb.jpg
59,p. 59,master/9693_0058.tif,web/9693_0058_web.jpg,thumb/9693_0058_thumb.jpg
60,p. 60,master/9693_0059.tif,web/9693_0059_web.jpg,thumb/9693_0059_thumb.jpg
